Week,1
9/18/2011,1:00 PM,"SEA","PIT",-14.5,"Fav","PIT","PIT","PIT","PIT",,0,24,24,"Home",,"L","W",,14,"-",16,"-",2,,18,"-",12,"-",2,,14,"-",16,"-",2,,16,"-",14,"-",2,,"W","W","W","W",,0,"",0,"",0,"",0,"",1,"W",,1,"W",1,"W",1,"W",1,"W",1,"W",1,"W",,"","","","","","","","","","L","","","","","","","","","","","","","","","","","","","W","","","",
9/18/2011,1:00 PM,"AZ","WAS",-4,"Fav","WAS","WAS","WAS","WAS",,21,22,1,"Home",,"W","L",,46.67%,,,,,,60.00%,,,,,,46.67%,,,,,,53.33%,,,,,,"L","L","L","L",,0,"",0,"",0,"",0,"",1,"L",,1,"L",1,"L",1,"L",1,"L",1,"L",1,"L",,"","","L","","","","","","W","","","","","","","","","","","","","","","","","","","","","","","",
9/18/2011,1:00 PM,"GB","CAR",10,"Dog","CAR","CAR","GB","GB",,30,23,-7,"Away",,"L","W",,,,,,,,,,,,,,,,,,,,,,,,,,"W","W","L","L",,0,"",0,"",0,"",0,"",0,"",,1,"W",0,"",0,"",0,"",0,"",1,"L",,"","","","","","W","","","","","","","L","","","","","","","","","","","","","","","","","","","",
9/18/2011,4:05 PM,"DAL","SF",3,"Dog","DAL","DAL","DAL","DAL",,27,24,-3,"Away",,"P","P",,"Games over 500",,,,,,,,,,,,,,,,,,,,,,,,"P","P","P","P",,0,"",0,"",0,"",0,"",1,"L",,1,"L",1,"L",1,"L",1,"L",1,"L",1,"L",,"","P","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","",
9/18/2011,4:15 PM,"SD","NE",-7,"Fav","NE","NE","NE","NE",,21,35,14,"Home",,"L","W",,"Week",,-3,,,,1,,,,,,-1,,,,,,-1,,,,,,"W","W","W","W",,0,"",0,"",0,"",0,"",1,"W",,1,"W",1,"W",1,"W",1,"W",1,"W",1,"W",,"","","","","","","","","","","","","","","","","W","","","","","","","","","","L","","","","","",
9/18/2011,4:15 PM,"HOU","MIA",3,"Dog","HOU","HOU","HOU","HOU",,23,13,-10,"Away",,"W","L",,"Season",,-2,,,,6,,,,,,-2,,,,,,2,,,,,,"W","W","W","W",,0,"",0,"",0,"",0,"",1,"W",,1,"W",1,"W",1,"W",1,"W",1,"W",1,"W",,"","","","","","","","","","","","","","","","","","L","","","","W","","","","","","","","","","",
9/18/2011,4:15 PM,"CIN","DEN",-3.5,"Fav","DEN","DEN","CIN","DEN",,22,24,2,"Home",,"W","L",,,,,,,,,,,,,,,,,,,,,,,,,,"L","L","W","L",,0,"",0,"",1,"W",0,"",0,"",,1,"L",0,"",1,"L",0,"",1,"L",0,"",,"","","","","","","","","","","","","","","","","","","","","","","","","","L","","","","","","W",
9/18/2011,8:20 AM,"PHL","ATL",3,"Dog","PHL","PHL","PHL","ATL",,31,35,4,"Home",,"L","W",,,,,,,,,,,,,,,,,,,,,,,,,,"L","L","L","W",,0,"",0,"",0,"",1,"W",0,"",,1,"L",1,"L",0,"",1,"L",0,"",0,"",,"","","","L","","","","W","","","","","","","","","","","","","","","","","","","","","","","","",
9/19/2011,8:30 AM,"STL","NYG",-4.5,"Fav","NYG","STL","NYG","STL",,16,28,12,"Home",,"L","W",,,,,,,,,,,,,,,,,,,,,,,,,,"W","L","W","L",,0,"",0,"",0,"",0,"",0,"",,0,"",1,"W",0,"",0,"",1,"L",0,"",,"W","","","","","","","","","","L","","","","","","","","","","","","","","","","","","","","","",
Week,3
9/25/2011,1:00 PM,"HOU","NO",-4,"Fav","NO","NO","NO","NO",,33,40,7,"Home","Week 3","L","W","Week 3",,,,,,,,,,,,,,,,,,,,,,,,"Week 3","W","W","W","W","Week 3",0,"",0,"",0,"",0,"",1,"W","Week 3",1,"W",1,"W",1,"W",1,"W",1,"W",1,"W","Week 3","","","","","W","","","","","","","","","","","","","","","","","L","","","","","","","","","","","Week 3"
9/25/2011,1:00 PM,"NYG","PHL",0,"Dog","PHI","PHI","PHI","PHI",,29,16,-13,"Away",,"W","L",,"Weekly Stats",,,,,,,,,,,,,,,,,,,,,,,,"L","L","L","L",,0,"",0,"",0,"",0,"",1,"L",,1,"L",1,"L",1,"L",1,"L",1,"L",1,"L",,"W","","","L","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
9/25/2011,1:00 PM,"JAC","CAR",-4,"Fav","CAR","CAR","CAR","CAR",,10,16,6,"Home",,"L","W",,"David",,,,,,"Pinto",,,,,,"Nic",,,,,,"Nick",,,,,,"W","W","W","W",,0,"",0,"",0,"",0,"",1,"W",,1,"W",1,"W",1,"W",1,"W",1,"W",1,"W",,"","","","","","W","","","","","","","","","","","","","","","","","","L","","","","","","","","",
9/25/2011,1:00 PM,"NE","BUF",9,"Dog","NE","BUF","BUF","NE",,31,34,3,"Home",,"L","W",,9,"-",7,"-",0,,7,"-",9,"-",0,,7,"-",9,"-",0,,9,"-",7,"-",0,,"L","W","W","L",,0,"",0,"",0,"",0,"",0,"",,0,"",0,"",1,"L",1,"W",0,"",0,"",,"","","","","","","","","","","","","","","","","L","","","W","","","","","","","","","","","","",
9/25/2011,1:00 PM,"MIA","CLE",-3,"Fav","MIA","MIA","CLE","MIA",,16,17,1,"Home",,"W","L",,,,,,,,,,,,,,,,,,,,,,,,,,"W","W","L","W",,0,"",0,"",1,"L",0,"",0,"",,1,"W",0,"",1,"W",0,"",1,"W",0,"",,"","","","","","","","","","","","","","","","","","W","","","","","","","","","","","","","L","",
9/25/2011,1:00 PM,"SF","CIN",-3,"Fav","CIN","SF","CIN","SF",,13,8,-5,"Away",,"W","L",,"Cummulative Stats",,,,,,,,,,,,,,,,,,,,,,,,"L","W","L","W",,0,"",0,"",0,"",0,"",0,"",,0,"",1,"L",0,"",0,"",1,"W",0,"",,"","","","","","","","","","","","W","","","","","","","","","","","","","","","","","","","","L",
